Company,Position,Salary,Home Office,Status,Application Date,Notes
ADAC,Engineering,35000,?,Applied,,
Münchener Verein Versicherungsgruppe,AI Engineering Consultant,18,Yes,Applied,,
ADMKRS GmbH,AI Automation & Systems Engineer,?,?,Applied,,
Soley GmbH,GTM Engineering & AI Automation,18,Yes,Applied,,
Atruvia AG,DevOps & Software Engineering ,16,Yes,Applied,,
Robominds GmbH,Robotik und Applikationen,?,?,Applied,,
Univers,Technical Implementation,?,No,Applied,,
Maklermanagement,Digitalisierung & Prozessautomatisierung,?,Yes,Applied,,
Hawk , AI Workflow Builder,16-18,Yes,Applied,,
disruptive, AI Engineering,38000,Yes,Applied,,
exp,exp,exp,Yes,Interview,,
exp2,exp2,exp2,,Rejected,,
asd,asd,asd,,Applied,2026-06-13,
asd,as,,,Applied,2026-06-13,
